Name;Year;per capita gdp(yuan);total population(million);urbanization rate(%);proportion of primary industry(%);proportion of secondary industry(%);proportion of the tertiary industry(%);coal proportion(%);Total carbon dioxide emissions ( million tons )
Anhui;1999;4819,00 ;60,51 ;25,22 ;27,53 ;35,92 ;36,55 ;67,61 ;137,02 
;2000;5147,00 ;60,93 ;28,00 ;23,70 ;34,00 ;42,30 ;67,82 ;146,13 
;2001;5732,00 ;61,28 ;29,30 ;21,70 ;35,90 ;42,40 ;69,42 ;153,62 
;2002;6238,00 ;61,44 ;30,70 ;20,50 ;35,20 ;44,30 ;69,23 ;160,93 
;2003;7001,00 ;61,63 ;32,00 ;17,40 ;36,20 ;46,40 ;69,42 ;179,38 
;2004;8279,00 ;62,28 ;33,50 ;18,53 ;35,99 ;45,47 ;68,81 ;186,37 
;2005;9193,00 ;61,20 ;35,50 ;17,03 ;38,71 ;44,26 ;68,80 ;196,84 
;2006;10630,00 ;61,10 ;37,10 ;15,55 ;40,82 ;43,63 ;67,20 ;211,59 
;2007;12989,00 ;61,18 ;38,70 ;14,06 ;42,46 ;43,49 ;66,49 ;235,30 
;2008;15535,00 ;61,35 ;40,50 ;13,80 ;44,07 ;42,13 ;68,07 ;268,07 
;2009;17715,00 ;61,31 ;42,10 ;12,73 ;45,27 ;42,00 ;68,85 ;294,62 
;2010;21923,00 ;59,57 ;43,20 ;12,08 ;48,27 ;39,65 ;67,95 ;311,83 
;2011;27303,00 ;59,72 ;44,80 ;11,47 ;50,29 ;38,24 ;67,70 ;337,43 
;2012;30697,00 ;59,78 ;46,50 ;11,01 ;50,42 ;38,57 ;65,56 ;347,39 
;2013;34404,00 ;59,88 ;47,90 ;10,56 ;49,72 ;39,73 ;64,28 ;374,62 
;2014;37580,00 ;59,97 ;49,15 ;10,19 ;48,77 ;41,04 ;62,84 ;385,55 
;2015;39692,00 ;60,11 ;50,50 ;9,97 ;45,48 ;44,55 ;61,89 ;386,13 
;2016;43686,00 ;60,33 ;51,99 ;9,46 ;43,78 ;46,76 ;61,13 ;384,95 
;2017;49092,00 ;60,57 ;53,49 ;8,70 ;42,73 ;48,57 ;60,11 ;397,10 
;2018;56063,00 ;60,76 ;54,69 ;7,76 ;41,44 ;50,80 ;59,18 ;411,48 
;2019;60561,00 ;60,92 ;55,81 ;7,91 ;40,63 ;51,46 ;58,00 ;413,61 
Beijing;1999;22054,00 ;12,57 ;77,30 ;2,84 ;32,61 ;64,55 ;43,10 ;96,94 
;2000;25014,00 ;13,64 ;77,52 ;2,42 ;31,23 ;66,35 ;42,40 ;99,59 
;2001;28097,00 ;13,85 ;78,06 ;2,09 ;29,19 ;68,72 ;41,83 ;98,19 
;2002;32231,00 ;14,23 ;78,57 ;1,82 ;27,29 ;70,89 ;39,44 ;96,24 
;2003;36583,00 ;14,56 ;79,07 ;1,60 ;27,65 ;70,75 ;39,99 ;100,12 
;2004;42402,00 ;14,93 ;79,52 ;1,37 ;28,37 ;70,27 ;39,59 ;111,21 
;2005;47182,00 ;15,38 ;83,62 ;1,22 ;26,68 ;72,11 ;39,74 ;113,28 
;2006;53438,00 ;16,01 ;84,33 ;1,04 ;24,71 ;74,25 ;38,53 ;114,73 
;2007;63629,00 ;16,76 ;84,50 ;0,95 ;23,15 ;75,90 ;35,31 ;121,33 
;2008;68541,00 ;17,71 ;84,90 ;0,94 ;21,39 ;77,67 ;32,35 ;120,56 
;2009;71059,00 ;18,60 ;85,00 ;0,91 ;21,21 ;77,88 ;30,50 ;122,13 
;2010;78307,00 ;19,62 ;85,95 ;0,82 ;21,61 ;77,57 ;29,29 ;122,89 
;2011;86246,00 ;20,24 ;86,23 ;0,78 ;20,73 ;78,49 ;27,66 ;113,82 
;2012;92758,00 ;20,78 ;86,20 ;0,78 ;20,27 ;78,95 ;26,30 ;111,95 
;2013;100569,00 ;21,25 ;86,30 ;0,76 ;19,72 ;79,52 ;25,09 ;98,49 
;2014;106732,00 ;21,71 ;86,35 ;0,69 ;19,34 ;79,97 ;21,20 ;99,51 
;2015;113692,00 ;21,88 ;86,51 ;0,57 ;17,84 ;81,60 ;15,12 ;88,73 
;2016;123391,00 ;21,95 ;86,50 ;0,48 ;17,25 ;82,27 ;11,43 ;79,03 
;2017;136172,00 ;21,94 ;86,50 ;0,41 ;16,90 ;82,69 ;6,61 ;76,52 
;2018;150962,00 ;21,92 ;86,50 ;0,36 ;16,55 ;83,09 ;3,64 ;74,72 
;2019;161776,00 ;21,90 ;86,60 ;0,32 ;15,99 ;83,69 ;2,41 ;73,58 
Fujian;1999;10323,00 ;103,23 ;20,31 ;17,78 ;41,85 ;40,36 ;46,62 ;60,54 
;2000;11194,00 ;111,94 ;41,99 ;16,37 ;43,09 ;40,53 ;45,75 ;66,56 
;2001;11883,00 ;118,83 ;42,76 ;15,33 ;44,11 ;40,56 ;45,42 ;66,97 
;2002;12910,00 ;129,10 ;45,66 ;14,76 ;45,42 ;39,82 ;47,98 ;78,77 
;2003;14330,00 ;143,30 ;46,37 ;13,64 ;46,60 ;39,76 ;48,96 ;93,32 
;2004;16248,00 ;162,48 ;47,63 ;13,36 ;47,95 ;38,70 ;48,98 ;109,43 
;2005;18107,00 ;181,07 ;49,42 ;12,35 ;48,26 ;39,39 ;51,79 ;134,67 
;2006;20915,00 ;209,15 ;50,40 ;11,10 ;48,60 ;40,30 ;51,97 ;147,38 
;2007;25915,00 ;259,15 ;51,38 ;10,20 ;48,49 ;41,31 ;52,17 ;165,27 
;2008;30153,00 ;301,53 ;53,01 ;10,03 ;49,28 ;40,70 ;53,45 ;172,69 
;2009;33999,00 ;339,99 ;55,07 ;8,93 ;49,36 ;41,71 ;50,31 ;203,06 
;2010;40773,00 ;407,73 ;57,11 ;8,46 ;51,36 ;40,18 ;44,86 ;221,45 
;2011;47928,00 ;479,28 ;58,11 ;8,33 ;52,00 ;39,68 ;48,74 ;251,81 
;2012;52959,00 ;529,59 ;59,31 ;8,07 ;52,14 ;39,79 ;47,21 ;249,94 
;2013;58255,00 ;582,55 ;60,80 ;7,75 ;52,46 ;39,79 ;45,28 ;240,26 
;2014;63709,00 ;637,09 ;62,00 ;7,44 ;52,78 ;39,78 ;40,62 ;275,79 
;2015;67649,00 ;676,49 ;63,23 ;7,21 ;51,22 ;41,58 ;38,95 ;266,30 
;2016;74024,00 ;740,24 ;64,39 ;7,24 ;49,59 ;43,16 ;35,75 ;248,63 
;2017;83758,00 ;837,58 ;65,78 ;6,55 ;48,13 ;45,32 ;37,05 ;264,36 
;2018;94719,00 ;947,19 ;66,98 ;6,15 ;48,72 ;45,13 ;38,22 ;291,38 
;2019;102722,00 ;1027,22 ;66,50 ;6,13 ;47,41 ;46,46 ;36,82 ;310,77 
Gansu;1999;3778,00 ;25,43 ;23,72 ;20,06 ;42,88 ;37,06 ;43,10 ;96,94 
;2000;4163,00 ;25,15 ;24,01 ;18,44 ;40,04 ;41,52 ;42,40 ;99,59 
;2001;4467,00 ;25,23 ;24,51 ;18,48 ;40,70 ;40,82 ;41,83 ;98,19 
;2002;4875,00 ;25,31 ;25,96 ;17,49 ;40,72 ;41,79 ;39,44 ;96,24 
;2003;5525,00 ;25,37 ;27,38 ;17,00 ;40,88 ;42,12 ;39,99 ;100,12 
;2004;6512,00 ;25,41 ;28,61 ;17,13 ;41,14 ;41,73 ;39,59 ;111,21 
;2005;7332,00 ;25,45 ;30,02 ;15,93 ;41,80 ;42,27 ;39,74 ;113,28 
;2006;8653,00 ;25,47 ;31,09 ;14,97 ;44,15 ;40,88 ;38,53 ;114,73 
;2007;10501,00 ;25,48 ;31,59 ;13,68 ;46,88 ;39,44 ;35,31 ;121,33 
;2008;12048,00 ;25,51 ;32,15 ;12,74 ;46,55 ;40,71 ;32,35 ;120,56 
;2009;12802,00 ;25,55 ;32,65 ;12,80 ;45,08 ;42,12 ;30,50 ;122,13 
;2010;15421,00 ;25,60 ;36,12 ;11,98 ;48,44 ;39,58 ;29,29 ;122,89 
;2011;18846,00 ;25,52 ;37,15 ;10,91 ;47,51 ;41,58 ;27,66 ;113,82 
;2012;21141,00 ;25,50 ;38,75 ;10,96 ;46,23 ;42,81 ;26,30 ;111,95 
;2013;23647,00 ;25,37 ;40,13 ;10,94 ;44,46 ;44,60 ;25,09 ;98,49 
;2014;25724,00 ;25,31 ;41,68 ;10,67 ;43,32 ;46,01 ;21,20 ;99,51 
;2015;25946,00 ;25,23 ;43,19 ;11,19 ;38,21 ;50,60 ;15,12 ;88,73 
;2016;27396,00 ;25,20 ;44,69 ;11,59 ;35,95 ;52,46 ;11,43 ;79,03 
;2017;29103,00 ;25,22 ;46,39 ;11,72 ;34,29 ;53,99 ;6,61 ;76,52 
;2018;32178,00 ;25,15 ;47,69 ;11,43 ;34,07 ;54,50 ;3,64 ;74,72 
;2019;34707,00 ;25,09 ;48,49 ;12,05 ;32,83 ;55,12 ;2,41 ;73,58 
Guangdong;1999;11463,00 ;82,18 ;53,86 ;10,90 ;47,20 ;41,90 ;36,15 ;215,21 
;2000;12817,00 ;86,50 ;55,00 ;9,10 ;46,70 ;44,20 ;35,21 ;241,07 
;2001;13952,00 ;87,33 ;56,14 ;8,10 ;45,90 ;46,00 ;34,56 ;250,85 
;2002;15478,00 ;88,42 ;57,27 ;7,50 ;45,60 ;46,90 ;34,63 ;267,74 
;2003;17950,00 ;89,63 ;58,41 ;6,70 ;48,10 ;45,20 ;35,70 ;304,20 
;2004;20647,00 ;91,11 ;59,54 ;6,50 ;49,30 ;44,20 ;34,56 ;345,95 
;2005;23997,00 ;91,94 ;60,68 ;6,40 ;50,30 ;43,30 ;34,89 ;387,66 
;2006;27861,00 ;94,42 ;63,00 ;5,70 ;50,70 ;43,60 ;35,10 ;429,21 
;2007;33236,00 ;96,60 ;63,14 ;5,20 ;50,50 ;44,30 ;36,51 ;459,27 
;2008;37543,00 ;98,93 ;63,37 ;5,20 ;50,50 ;44,30 ;37,44 ;472,34 
;2009;39418,00 ;101,30 ;63,40 ;4,90 ;49,30 ;45,80 ;36,65 ;497,73 
;2010;44669,00 ;104,41 ;66,18 ;4,80 ;49,90 ;45,30 ;37,99 ;564,69 
;2011;50076,00 ;107,56 ;66,57 ;4,80 ;49,30 ;45,90 ;40,67 ;606,28 
;2012;52308,00 ;110,41 ;67,15 ;4,70 ;48,00 ;47,30 ;38,80 ;595,58 
;2013;56029,00 ;112,70 ;68,09 ;4,60 ;46,90 ;48,50 ;37,43 ;588,27 
;2014;59909,00 ;114,89 ;68,62 ;4,50 ;46,80 ;48,70 ;36,20 ;589,37 
;2015;64516,00 ;116,78 ;69,51 ;4,30 ;45,40 ;50,30 ;35,16 ;588,26 
;2016;69671,00 ;119,08 ;70,15 ;4,30 ;43,20 ;52,50 ;32,97 ;604,06 
;2017;76218,00 ;121,41 ;70,74 ;3,90 ;42,10 ;54,00 ;33,39 ;630,87 
;2018;81625,00 ;123,48 ;71,81 ;3,80 ;41,40 ;54,80 ;31,85 ;650,97 
;2019;86956,00 ;124,89 ;72,88 ;4,10 ;40,40 ;55,50 ;31,07 ;640,29 
Guangxi;1999;4444,00 ;47,13 ;22,92 ;28,80 ;34,50 ;36,70 ;58,63 ;52,10 
;2000;4652,00 ;47,51 ;28,14 ;26,80 ;35,10 ;38,10 ;57,43 ;55,76 
;2001;5058,00 ;47,88 ;28,20 ;25,30 ;33,70 ;41,00 ;56,61 ;55,76 
;2002;5559,00 ;48,22 ;28,31 ;23,90 ;33,50 ;42,60 ;51,78 ;57,78 
;2003;6120,00 ;48,57 ;29,05 ;23,60 ;34,10 ;42,30 ;53,68 ;68,95 
;2004;7182,00 ;48,89 ;31,70 ;24,50 ;34,80 ;40,70 ;54,87 ;90,31 
;2005;8069,00 ;46,60 ;33,62 ;24,20 ;35,40 ;40,40 ;53,80 ;102,54 
;2006;9421,00 ;47,19 ;34,64 ;23,20 ;36,30 ;40,50 ;54,29 ;112,69 
;2007;11542,00 ;47,68 ;36,24 ;22,20 ;37,90 ;39,90 ;54,03 ;128,62 
;2008;13471,00 ;48,16 ;36,24 ;22,00 ;38,20 ;39,80 ;51,97 ;127,63 
;2009;14708,00 ;48,56 ;39,20 ;22,00 ;38,20 ;39,80 ;51,77 ;141,54 
;2010;18070,00 ;46,10 ;40,01 ;19,20 ;40,50 ;40,30 ;51,45 ;172,11 
;2011;22234,00 ;46,55 ;41,90 ;19,50 ;41,20 ;39,30 ;48,49 ;211,56 
;2012;24181,00 ;46,94 ;43,48 ;16,70 ;47,90 ;35,40 ;46,22 ;232,23 
;2013;26416,00 ;47,31 ;45,11 ;15,90 ;46,60 ;37,50 ;46,42 ;229,33 
;2014;28603,00 ;47,70 ;46,54 ;15,40 ;46,70 ;37,90 ;42,63 ;227,58 
;2015;30890,00 ;48,11 ;48,00 ;17,30 ;36,40 ;46,30 ;39,20 ;216,17 
;2016;33340,00 ;48,57 ;48,10 ;17,40 ;34,90 ;47,70 ;40,52 ;227,18 
;2017;36441,00 ;49,07 ;49,20 ;16,20 ;34,50 ;49,30 ;38,99 ;238,93 
;2018;39837,00 ;49,47 ;50,20 ;15,40 ;34,10 ;50,50 ;40,62 ;245,00 
;2019;42778,00 ;49,82 ;51,10 ;16,00 ;33,30 ;50,70 ;41,34 ;258,49 
Guizhou;1999;2545,00 ;37,10 ;68,46 ;28,56 ;37,38 ;34,06 ;78,50 ;105,82 
;2000;2759,00 ;37,56 ;23,87 ;26,30 ;38,00 ;35,70 ;78,14 ;108,47 
;2001;3000,00 ;37,99 ;23,96 ;24,20 ;38,30 ;37,50 ;75,61 ;104,91 
;2002;3257,00 ;38,37 ;24,29 ;22,60 ;38,80 ;38,60 ;75,15 ;110,27 
;2003;3708,00 ;38,70 ;24,77 ;21,00 ;39,90 ;39,10 ;74,43 ;141,64 
;2004;4244,00 ;39,04 ;26,28 ;19,94 ;40,62 ;39,44 ;76,21 ;165,68 
;2005;5218,00 ;37,30 ;26,87 ;18,40 ;40,90 ;40,70 ;78,58 ;181,11 
;2006;6103,00 ;36,90 ;27,46 ;16,30 ;41,40 ;42,30 ;77,19 ;211,09 
;2007;7778,00 ;36,32 ;28,24 ;15,50 ;39,00 ;45,50 ;76,38 ;225,87 
;2008;9697,00 ;35,96 ;29,11 ;15,10 ;38,50 ;46,40 ;74,32 ;209,68 
;2009;10814,00 ;35,37 ;29,89 ;14,10 ;37,70 ;48,20 ;75,92 ;229,91 
;2010;12882,00 ;34,79 ;33,81 ;13,60 ;39,10 ;47,30 ;74,06 ;231,77 
;2011;16024,00 ;35,30 ;35,03 ;12,70 ;38,50 ;48,80 ;73,92 ;256,25 
;2012;18947,00 ;35,87 ;36,30 ;13,00 ;39,10 ;47,90 ;74,34 ;280,40 
;2013;22089,00 ;36,32 ;37,80 ;12,30 ;40,50 ;47,20 ;73,02 ;290,29 
;2014;25101,00 ;36,77 ;40,00 ;13,80 ;41,60 ;44,60 ;71,74 ;279,75 
;2015;28547,00 ;37,08 ;42,00 ;15,60 ;39,50 ;44,90 ;70,71 ;277,07 
;2016;31589,00 ;37,58 ;44,10 ;15,80 ;37,90 ;46,30 ;70,94 ;293,68 
;2017;35988,00 ;38,03 ;46,00 ;14,94 ;36,54 ;48,52 ;69,00 ;289,29 
;2018;40271,00 ;38,22 ;47,50 ;14,60 ;38,90 ;46,50 ;64,61 ;267,31 
;2019;43727,00 ;38,48 ;49,00 ;13,60 ;36,10 ;50,30 ;64,04 ;272,75 
Hainan;1999;6294,00 ;7,62 ;23,37 ;36,20 ;20,10 ;43,70 ;36,67 ;6,95 
;2000;6798,00 ;7,89 ;23,51 ;36,40 ;19,70 ;43,90 ;36,46 ;7,70 
;2001;7315,00 ;7,96 ;23,98 ;34,00 ;23,10 ;42,90 ;21,38 ;5,92 
;2002;8041,00 ;8,03 ;24,91 ;34,60 ;23,20 ;42,20 ;0,00 ;4,60 
;2003;8849,00 ;8,11 ;25,23 ;34,20 ;24,60 ;41,20 ;56,23 ;16,64 
;2004;9859,00 ;8,18 ;44,19 ;33,90 ;24,90 ;41,20 ;48,79 ;14,18 
;2005;10753,00 ;8,28 ;45,20 ;32,80 ;26,00 ;41,20 ;39,01 ;11,52 
;2006;12350,00 ;8,36 ;46,10 ;30,20 ;28,40 ;41,40 ;25,00 ;19,17 
;2007;14683,00 ;8,45 ;47,20 ;28,50 ;28,70 ;42,80 ;17,09 ;39,08 
;2008;17357,00 ;8,54 ;48,00 ;28,70 ;28,00 ;43,30 ;18,49 ;40,98 
;2009;18860,00 ;8,64 ;49,13 ;27,70 ;26,70 ;45,60 ;19,43 ;44,33 
;2010;23323,00 ;8,69 ;47,76 ;25,80 ;26,20 ;48,00 ;21,35 ;47,88 
;2011;28014,00 ;8,90 ;50,50 ;25,80 ;27,20 ;47,00 ;23,80 ;53,47 
;2012;30993,00 ;9,10 ;51,60 ;24,50 ;26,80 ;48,70 ;25,45 ;56,49 
;2013;34053,00 ;9,20 ;52,74 ;23,20 ;24,10 ;52,70 ;29,12 ;51,58 
;2014;37166,00 ;9,36 ;53,76 ;23,00 ;24,00 ;53,00 ;26,46 ;57,75 
;2015;39704,00 ;9,45 ;55,12 ;22,40 ;23,60 ;54,00 ;25,10 ;64,58 
;2016;43009,00 ;9,57 ;56,78 ;22,60 ;22,10 ;55,30 ;23,86 ;63,53 
;2017;46631,00 ;9,72 ;58,04 ;21,40 ;22,20 ;56,40 ;26,13 ;61,56 
;2018;50263,00 ;9,82 ;59,10 ;20,10 ;21,40 ;58,50 ;26,28 ;64,41 
;2019;53929,00 ;9,95 ;59,20 ;20,30 ;20,70 ;59,00 ;24,55 ;66,18 
Hebei;1999;6310,00 ;66,14 ;23,62 ;19,38 ;45,09 ;35,53 ;66,98 ;287,24 
;2000;6966,00 ;66,74 ;26,09 ;17,82 ;46,38 ;35,80 ;66,47 ;299,66 
;2001;7572,00 ;66,99 ;28,56 ;18,05 ;45,30 ;36,65 ;66,52 ;311,08 
;2002;8216,00 ;67,35 ;31,04 ;17,34 ;44,71 ;37,95 ;64,99 ;346,02 
;2003;9380,00 ;67,69 ;33,51 ;16,80 ;46,15 ;37,05 ;61,67 ;394,25 
;2004;11178,00 ;68,09 ;35,83 ;17,57 ;45,70 ;36,73 ;60,74 ;459,70 
;2005;12845,00 ;68,51 ;37,69 ;15,33 ;47,00 ;37,66 ;59,25 ;572,31 
;2006;14609,00 ;68,98 ;38,77 ;13,96 ;47,51 ;38,53 ;56,42 ;619,04 
;2007;17561,00 ;69,43 ;40,25 ;14,29 ;48,13 ;37,57 ;59,06 ;673,80 
;2008;20385,00 ;69,89 ;41,90 ;13,78 ;49,17 ;37,05 ;56,32 ;703,05 
;2009;21831,00 ;70,34 ;43,74 ;13,86 ;46,81 ;39,33 ;56,98 ;748,95 
;2010;25308,00 ;71,94 ;43,94 ;13,74 ;47,05 ;39,21 ;54,35 ;804,89 
;2011;29647,00 ;72,32 ;45,59 ;12,64 ;48,05 ;39,31 ;54,07 ;909,80 
;2012;31844,00 ;72,62 ;46,60 ;12,63 ;47,32 ;40,06 ;54,25 ;920,60 
;2013;33346,00 ;72,88 ;48,02 ;12,95 ;46,08 ;40,97 ;54,27 ;920,67 
;2014;34507,00 ;73,23 ;49,36 ;12,55 ;45,53 ;41,92 ;52,85 ;873,79 
;2015;35994,00 ;73,45 ;51,67 ;11,75 ;43,64 ;44,62 ;52,56 ;862,31 
;2016;38688,00 ;73,75 ;53,87 ;10,83 ;43,31 ;45,86 ;50,73 ;863,61 
;2017;41451,00 ;74,09 ;55,74 ;10,22 ;41,70 ;48,08 ;50,16 ;838,72 
;2018;43808,00 ;74,26 ;57,33 ;10,27 ;39,71 ;50,01 ;49,78 ;916,13 
;2019;47036,00 ;74,47 ;57,62 ;10,06 ;38,29 ;51,65 ;47,96 ;913,53 
Henan;1999;4832,00 ;93,87 ;21,99 ;24,08 ;43,63 ;32,29 ;66,90 ;196,85 
;2000;5450,00 ;94,88 ;23,20 ;22,30 ;45,20 ;32,50 ;66,57 ;207,47 
;2001;5959,00 ;95,55 ;24,43 ;21,60 ;45,14 ;33,26 ;66,26 ;220,68 
;2002;6487,00 ;96,13 ;25,80 ;20,00 ;47,74 ;32,26 ;66,90 ;240,50 
;2003;7376,00 ;96,67 ;27,20 ;17,27 ;48,23 ;34,50 ;70,84 ;245,32 
;2004;9047,00 ;97,17 ;28,90 ;19,59 ;48,52 ;31,89 ;67,22 ;347,15 
;2005;10978,00 ;93,80 ;30,65 ;18,00 ;50,80 ;31,20 ;70,38 ;420,38 
;2006;12761,00 ;93,92 ;32,50 ;15,61 ;52,73 ;31,66 ;70,74 ;475,92 
;2007;15811,00 ;93,60 ;34,34 ;14,55 ;53,32 ;32,13 ;69,71 ;527,02 
;2008;18879,00 ;94,29 ;36,03 ;14,52 ;54,77 ;30,71 ;69,02 ;543,01 
;2009;20280,00 ;94,87 ;37,70 ;13,90 ;53,83 ;32,27 ;68,82 ;554,42 
;2010;23984,00 ;94,05 ;38,82 ;13,80 ;53,70 ;32,50 ;67,31 ;599,15 
;2011;27901,00 ;94,61 ;40,60 ;13,00 ;57,30 ;29,70 ;66,25 ;659,80 
;2012;30497,00 ;95,32 ;42,40 ;12,70 ;56,30 ;31,00 ;62,10 ;612,79 
;2013;33114,00 ;95,73 ;43,80 ;12,30 ;52,00 ;35,70 ;61,82 ;601,92 
;2014;35982,00 ;96,45 ;45,20 ;11,90 ;51,00 ;37,10 ;59,21 ;608,80 
;2015;38338,00 ;97,01 ;47,02 ;10,80 ;48,40 ;40,80 ;58,04 ;609,44 
;2016;41326,00 ;97,78 ;48,50 ;10,10 ;47,90 ;42,00 ;56,92 ;601,67 
;2017;45723,00 ;98,29 ;50,20 ;9,30 ;47,40 ;43,30 ;57,25 ;568,30 
;2018;50714,00 ;98,64 ;51,70 ;8,90 ;45,90 ;45,20 ;56,77 ;548,84 
;2019;54356,00 ;99,01 ;54,00 ;8,50 ;43,50 ;48,00 ;54,37 ;505,00 
Heilongjiang;1999;6707,00 ;37,92 ;54,20 ;14,55 ;57,81 ;27,64 ;52,86 ;179,71 
;2000;7515,00 ;38,07 ;51,94 ;13,15 ;57,20 ;29,64 ;52,25 ;185,63 
;2001;7990,00 ;38,11 ;52,38 ;14,01 ;54,74 ;31,25 ;50,91 ;179,96 
;2002;8507,00 ;38,13 ;52,57 ;14,32 ;53,30 ;32,39 ;51,14 ;178,64 
;2003;9464,00 ;38,15 ;52,59 ;13,66 ;54,20 ;32,14 ;53,80 ;199,89 
;2004;10836,00 ;38,17 ;52,78 ;14,05 ;54,91 ;31,04 ;56,17 ;217,01 
;2005;12456,00 ;38,20 ;53,10 ;14,18 ;55,85 ;29,97 ;58,36 ;246,27 
;2006;13947,00 ;38,23 ;53,50 ;13,73 ;56,25 ;30,02 ;58,09 ;260,41 
;2007;16023,00 ;38,24 ;53,90 ;14,57 ;55,22 ;30,21 ;59,27 ;279,13 
;2008;18654,00 ;38,25 ;55,40 ;15,05 ;55,16 ;29,79 ;63,47 ;296,32 
;2009;18871,00 ;38,26 ;55,50 ;15,82 ;50,81 ;33,37 ;59,95 ;310,04 
;2010;21694,00 ;38,33 ;55,67 ;15,55 ;49,90 ;34,55 ;61,04 ;336,79 
;2011;26093,00 ;37,82 ;56,50 ;17,07 ;49,48 ;33,45 ;61,46 ;361,42 
;2012;29352,00 ;37,24 ;56,90 ;19,24 ;46,30 ;34,46 ;62,21 ;378,32 
;2013;32068,00 ;36,66 ;57,40 ;21,43 ;43,91 ;34,66 ;62,55 ;353,75 
;2014;33464,00 ;36,08 ;58,01 ;22,11 ;40,03 ;37,86 ;63,20 ;358,68 
;2015;32759,00 ;35,29 ;58,80 ;23,20 ;33,59 ;43,21 ;62,64 ;356,79 
;2016;34025,00 ;34,63 ;59,20 ;23,13 ;31,02 ;45,85 ;64,04 ;364,16 
;2017;35887,00 ;33,99 ;59,40 ;24,08 ;28,58 ;47,33 ;65,51 ;365,48 
;2018;38199,00 ;33,27 ;60,10 ;23,36 ;27,53 ;49,11 ;64,55 ;336,73 
;2019;41156,00 ;32,55 ;60,90 ;23,50 ;26,88 ;49,62 ;65,21 ;353,96 
Hubei;1999;5452,00 ;59,38 ;33,52 ;20,20 ;40,60 ;39,20 ;59,08 ;164,69 
;2000;6121,00 ;56,46 ;42,72 ;18,70 ;40,40 ;40,90 ;58,26 ;168,40 
;2001;6866,00 ;56,58 ;40,80 ;17,80 ;40,50 ;41,70 ;59,58 ;164,17 
;2002;7437,00 ;56,72 ;41,40 ;16,80 ;40,40 ;42,80 ;59,27 ;175,53 
;2003;8378,00 ;56,85 ;42,00 ;16,80 ;41,00 ;42,20 ;59,16 ;196,28 
;2004;9746,00 ;56,98 ;42,60 ;18,20 ;41,00 ;40,80 ;59,69 ;216,14 
;2005;11342,00 ;57,10 ;43,20 ;16,50 ;42,70 ;40,80 ;57,92 ;238,35 
;2006;13210,00 ;56,93 ;43,80 ;15,00 ;43,40 ;41,60 ;58,33 ;263,89 
;2007;16593,00 ;56,99 ;44,30 ;14,10 ;43,70 ;42,20 ;57,39 ;291,72 
;2008;20153,00 ;57,11 ;45,20 ;14,90 ;44,10 ;41,00 ;55,09 ;290,48 
;2009;23081,00 ;57,20 ;46,00 ;13,00 ;45,80 ;41,20 ;55,86 ;311,98 
;2010;28359,00 ;57,28 ;49,69 ;12,60 ;47,70 ;39,70 ;58,90 ;357,68 
;2011;34719,00 ;57,60 ;51,83 ;12,40 ;49,00 ;38,60 ;61,25 ;406,43 
;2012;39149,00 ;57,81 ;53,50 ;11,80 ;49,40 ;38,80 ;60,88 ;405,79 
;2013;43835,00 ;57,98 ;54,51 ;11,40 ;46,70 ;41,90 ;52,23 ;348,27 
;2014;48635,00 ;58,16 ;55,67 ;10,60 ;46,10 ;43,30 ;50,59 ;350,42 
;2015;52021,00 ;58,50 ;56,85 ;10,30 ;44,70 ;45,00 ;50,38 ;347,21 
;2016;56844,00 ;58,85 ;58,10 ;10,20 ;43,60 ;46,20 ;49,36 ;347,65 
;2017;63169,00 ;59,04 ;59,30 ;9,50 ;42,20 ;48,30 ;48,35 ;354,38 
;2018;71097,00 ;59,17 ;60,30 ;8,50 ;41,80 ;49,70 ;45,25 ;345,81 
;2019;76712,00 ;59,27 ;61,00 ;8,40 ;41,20 ;50,40 ;45,13 ;366,87 
Hunan;1999;4933,00 ;65,32 ;26,39 ;24,20 ;37,10 ;38,70 ;56,16 ;100,84 
;2000;5590,00 ;65,62 ;29,75 ;22,10 ;36,40 ;41,50 ;52,28 ;97,95 
;2001;6120,00 ;65,96 ;30,80 ;21,50 ;36,90 ;41,60 ;57,87 ;109,38 
;2002;6734,00 ;66,29 ;32,00 ;20,40 ;36,70 ;42,90 ;56,31 ;117,23 
;2003;7589,00 ;66,63 ;33,50 ;18,70 ;38,00 ;43,30 ;57,59 ;133,01 
;2004;9004,00 ;66,98 ;35,50 ;18,50 ;38,50 ;43,00 ;56,98 ;163,31 
;2005;10200,00 ;63,26 ;37,00 ;16,60 ;39,10 ;44,30 ;62,60 ;226,49 
;2006;11733,00 ;63,42 ;38,71 ;17,60 ;40,80 ;41,60 ;62,87 ;240,95 
;2007;14626,00 ;63,55 ;40,45 ;17,70 ;41,70 ;40,60 ;61,83 ;264,50 
;2008;17758,00 ;63,80 ;42,15 ;18,00 ;43,10 ;38,90 ;61,62 ;261,38 
;2009;19979,00 ;64,06 ;43,20 ;14,10 ;43,00 ;42,90 ;61,36 ;274,61 
;2010;24005,00 ;65,70 ;46,72 ;13,30 ;45,20 ;41,50 ;59,94 ;291,32 
;2011;28766,00 ;65,81 ;45,10 ;12,80 ;47,60 ;39,60 ;61,90 ;324,59 
;2012;32203,00 ;65,90 ;46,65 ;12,10 ;46,80 ;41,10 ;57,87 ;318,99 
